league_name,level_category_points,league_points_f13
international,8.0,0
international-w,61.77272727,1000
armenia,70.04545455,1400
asia-other,61.77272727,1000
wc-d4,8.0,0
aihl,65.90909091,1200
ajihl,65.90909091,1200
australia-other,53.5,600
australia-u15,49.36363636,500
australia-u18,49.36363636,500
australia2,61.77272727,1000
awihl-w,65.90909091,1200
ecsl,61.77272727,1000
ihsa-premier,57.63636364,800
ihv-premier,57.63636364,800
ihwa-premier,57.63636364,800
not-covered,20.40909091,0
qc-int-pw,16.27272727,0
wc-d2a,8.0,0
wc-d2a-w,8.0,0
wjc-18-d1b-w,65.90909091,1200
wjc-18-d2b,65.90909091,1200
wjc-20-d2b,74.18181818,1700
alpshl,90.72727273,3100
austria-other,74.18181818,1700
austria-u17,70.04545455,1400
austria-u18i,74.18181818,1700
austria-u20i,82.45454545,2400
austria3,82.45454545,2400
austria4,78.31818182,2000
czechia-u15,65.90909091,1200
debl-w,82.45454545,2400
debl2-w,78.31818182,2000
ec,8.0,0
ewhl-w,86.59090909,2800
eyof,8.0,0
eyof-w,8.0,0
germany-u15-2,16.27272727,0
germany-u17-4,16.27272727,0
germany3-w,16.27272727,0
icehl,86.59090909,2800
international-jr,8.0,0
ogq,8.0,0
ogq-w,8.0,0
swissdiv4,16.27272727,0
wc,8.0,0
wc-d1a-w,8.0,0
whc-u14,61.77272727,1000
whc-u15,65.90909091,1200
wjc-18-d1b,8.0,0
wjc-20-d1a,8.0,0
wsi-u12,53.5,600
asian-wg,53.5,600
kuwait,53.5,600
belarus,86.59090909,2800
belarus-other,78.31818182,2000
belarus-u18,74.18181818,1700
belarus-vysshaya,74.18181818,1700
khl,94.86363636,3600
mhl,78.31818182,2000
russia-other,61.77272727,1000
wsi-u13,57.63636364,800
wsi-u14,61.77272727,1000
wsi-u15,65.90909091,1200
belgium-other,57.63636364,800
belgium-u16,61.77272727,1000
belgium-u18,65.90909091,1200
belgium-w,70.04545455,1400
belgium2,65.90909091,1200
cehl,70.04545455,1400
germany2-w,86.59090909,2800
netherlands-w,70.04545455,1400
wc-d2b-w,8.0,0
wjc-18-d2b-w,70.04545455,1400
wjc-20-d3a,78.31818182,2000
bosnia,70.04545455,1400
wc-d3a,8.0,0
wc-d3b-w,8.0,0
wjc-18-d3b,70.04545455,1400
bulgaria,70.04545455,1400
bulgaria-u16,57.63636364,800
bulgaria-u18,65.90909091,1200
bulgaria-u20,70.04545455,1400
wc-d2b,8.0,0
wc-d3a-w,8.0,0
wjc-18-d3-w,70.04545455,1400
wjc-18-d3a,70.04545455,1400
13u-aa,53.5,600
14u-a,53.5,600
14u-aaa,61.77272727,1000
15u-a,57.63636364,800
15u-a-w,57.63636364,800
15u-aa,61.77272727,1000
15u-aaa,65.90909091,1200
16u-aa,65.90909091,1200
16u-aaa,70.04545455,1400
18u-a,70.04545455,1400
18u-aaa,78.31818182,2000
19u-aa-w,74.18181818,1700
19u-aaa-w,82.45454545,2400
aau-ii,65.90909091,1200
acac,78.31818182,2000
acac-w,78.31818182,2000
ach,70.04545455,1400
acha-d2-w,70.04545455,1400
acha-ii,70.04545455,1400
aehl,70.04545455,1400
aehl-u15,65.90909091,1200
aehl-u15-aa,61.77272727,1000
aehl-u16-aa,65.90909091,1200
aehl-u17,70.04545455,1400
aehl-u18,74.18181818,1700
aehl-u18-aa,70.04545455,1400
aejhl,74.18181818,1700
aeshl,74.18181818,1700
afhl-u15-aa-w,61.77272727,1000
afhl-u18-aa-w,70.04545455,1400
afhl-u18-aaa-w,78.31818182,2000
ahl,94.86363636,3600
ajfhl-w,82.45454545,2400
ajhl,82.45454545,2400
alberta-cup,16.27272727,0
alliance-u14,57.63636364,800
alliance-u15,61.77272727,1000
alliance-u16,65.90909091,1200
alliance-u18,74.18181818,1700
bantam-w,57.63636364,800
bc-zone-u15,16.27272727,0
bc-zone-u18,70.04545455,1400
bcehl-u15,65.90909091,1200
bcehl-u17,70.04545455,1400
bcehl-u18,74.18181818,1700
bcehl-u18-w,74.18181818,1700
bchl,86.59090909,2800
bchshl,74.18181818,1700
bcihl,70.04545455,1400
beaver-hl,20.40909091,0
brhl,70.04545455,1400
brick-invitational,16.27272727,0
bshl,74.18181818,1700
cahl-u15,57.63636364,800
cahl-u16,57.63636364,800
cahl-u18,65.90909091,1200
cahs,74.18181818,1700
cahs-w,74.18181818,1700
cajaahl,74.18181818,1700
cajhl,74.18181818,1700
camp-showcase,16.27272727,0
capjhl,65.90909091,1200
cbhf-u15,61.77272727,1000
cbhf-u18,74.18181818,1700
cc,8.0,0
cchl,78.31818182,2000
cdhl,70.04545455,1400
cehl-sr,70.04545455,1400
centralphl,70.04545455,1400
cihl,70.04545455,1400
cisaa,70.04545455,1400
cpjhl,70.04545455,1400
crhl,70.04545455,1400
crjhl,70.04545455,1400
cskrtb,70.04545455,1400
csshl-u15,61.77272727,1000
csshl-u15-aaa,65.90909091,1200
csshl-u16,74.18181818,1700
csshl-u17,70.04545455,1400
csshl-u17-aaa,74.18181818,1700
csshl-u18,78.31818182,2000
csshl-u18-w,78.31818182,2000
csshle-u17,70.04545455,1400
csshle-u18,74.18181818,1700
cwjhl,70.04545455,1400
cwshl,70.04545455,1400
eastcshl,70.04545455,1400
echl,90.72727273,3100
echshl,70.04545455,1400
ecmhl-u15,57.63636364,800
ecmhl-u18,70.04545455,1400
edmjhl,70.04545455,1400
eojhl,65.90909091,1200
eoshl,70.04545455,1400
ep-invitational,16.27272727,0
etahl-u21,82.45454545,2400
fsl-14u-w,61.77272727,1000
fsl-16u-w,70.04545455,1400
glphl,70.04545455,1400
gmhl,65.90909091,1200
gnu18l,70.04545455,1400
gojhl,70.04545455,1400
gthl-u14,53.5,600
gthl-u14-aa,57.63636364,800
gthl-u15,57.63636364,800
gthl-u15-aa,61.77272727,1000
gthl-u16,61.77272727,1000
gthl-u16-aa,65.90909091,1200
gthl-u17-aa,70.04545455,1400
gthl-u18,78.31818182,2000
gthl-u18-aa,70.04545455,1400
gthl-u21,82.45454545,2400
hc-u21,70.04545455,1400
hc-u21c,70.04545455,1400
heo-u14,61.77272727,1000
heo-u14-aa,57.63636364,800
heo-u15,61.77272727,1000
heo-u15-aa,61.77272727,1000
heo-u16,61.77272727,1000
heo-u16-aa,65.90909091,1200
heo-u18,70.04545455,1400
heo-u18-aa,65.90909091,1200
hjhl,65.90909091,1200
hlinka-gretzky-cup,8.0,0
hno,70.04545455,1400
hsl-u14,57.63636364,800
hsl-u15,61.77272727,1000
hsl-u18,70.04545455,1400
htjhl,70.04545455,1400
hw14hl-u15,57.63636364,800
hw14hl-u18,70.04545455,1400
independent,16.27272727,0
independent-jr,16.27272727,0
independent-w,16.27272727,0
international-jr-w,16.27272727,0
iqbc,70.04545455,1400
isjhl,70.04545455,1400
jcwc,70.04545455,1400
jphl-u14,53.5,600
jphl-u15,57.63636364,800
jphl-u17,65.90909091,1200
jphl-u18,70.04545455,1400
jshl-u16,61.77272727,1000
jshl-u18,70.04545455,1400
juvenile,70.04545455,1400
jwhl-w,70.04545455,1400
kijhl,70.04545455,1400
kjhl,70.04545455,1400
lhatm18bb,65.90909091,1200
lhbbf,70.04545455,1400
lhc,70.04545455,1400
lhcs,70.04545455,1400
lhdaaq,61.77272727,1000
lhjaall,70.04545455,1400
lhjabf,70.04545455,1400
lhjacn,70.04545455,1400
lhjacrse,70.04545455,1400
lhjal,70.04545455,1400
lhjall,70.04545455,1400
lhjalsl,70.04545455,1400
lhjam,70.04545455,1400
lhjama,70.04545455,1400
lhjao,70.04545455,1400
lhjaosf,70.04545455,1400
lhjarn,70.04545455,1400
lhjarv,70.04545455,1400
lhjaslsj,70.04545455,1400
lhjbb,70.04545455,1400
lhjbsl,70.04545455,1400
lhjslsj,70.04545455,1400
lhmjaa,70.04545455,1400
lhsaaall,70.04545455,1400
lhsaaaq,70.04545455,1400
lhsao,70.04545455,1400
lhsb,70.04545455,1400
lhsbeq,70.04545455,1400
lhsce,70.04545455,1400
lhse,70.04545455,1400
lhsg,70.04545455,1400
lhslf,70.04545455,1400
lhsmm,70.04545455,1400
lhva,70.04545455,1400
lihlllbaa,61.77272727,1000
lihlllmaa,70.04545455,1400
ljhl,70.04545455,1400
llfhl-w,70.04545455,1400
llhl,70.04545455,1400
lnah,70.04545455,1400
lrh,70.04545455,1400
mfhl-u15-w,65.90909091,1200
mfhl-u18-w,70.04545455,1400
mfpl-w,74.18181818,1700
mhlsk-u15,57.63636364,800
mhlsk-u18,70.04545455,1400
midget-w,65.90909091,1200
mjahl,70.04545455,1400
mjhl,82.45454545,2400
mmghl-u18-w,78.31818182,2000
mmhl-u23,82.45454545,2400
mmjhl,65.90909091,1200
mmmhl-u15,57.63636364,800
mmmhl-u18,70.04545455,1400
montreal-meltdown-u16,16.27272727,0
montreal-meltdown-u19,16.27272727,0
mphl,70.04545455,1400
mu18hl,74.18181818,1700
mwjhl-w,70.04545455,1400
nafha-w,70.04545455,1400
nahc,70.04545455,1400
nahc-w,70.04545455,1400
naprephl-u14,53.5,600
naprephl-u16,61.77272727,1000
naprephl-u18,74.18181818,1700
naprephl-w,74.18181818,1700
nat1hl-16u,65.90909091,1200
nbfaaahl-w,65.90909091,1200
nbiaa,74.18181818,1700
nbiaa-w,74.18181818,1700
nbjchl,70.04545455,1400
nbjhl,70.04545455,1400
nbmhl,78.31818182,2000
nbpeimu18hl,78.31818182,2000
nbu14aaahl,61.77272727,1000
nbu15aaahl,65.90909091,1200
ncdc,74.18181818,1700
nchl-ab,70.04545455,1400
ncjhl,70.04545455,1400
ncmha,70.04545455,1400
ndmhl,70.04545455,1400
neahl,74.18181818,1700
neajbhl,70.04545455,1400
nefphl-18u,70.04545455,1400
nemhl-u15,57.63636364,800
nemhl-u18,70.04545455,1400
neoha-u15,57.63636364,800
neshl,70.04545455,1400
netherlands-other,70.04545455,1400
nghl-16u-aa-w,70.04545455,1400
nghl-19u-aa-w,82.45454545,2400
nhl,99.0,4500
nhl-4-nations,8.0,0
njhl,65.90909091,1200
nlaaahl-u15,65.90909091,1200
nlaaahl-u16,65.90909091,1200
nlu18mhl,78.31818182,2000
nlu18minhl,78.31818182,2000
nohl-u14,61.77272727,1000
nohl-u15,65.90909091,1200
nojhl,70.04545455,1400
norjhl,70.04545455,1400
normanmaa,74.18181818,1700
northphl,70.04545455,1400
notehl,70.04545455,1400
