league_name,level_category_points,league_points_f13
international,8.0,0.0
international-w,61.77272727,1000.0
armenia,70.04545455,1400.0
asia-other,61.77272727,1000.0
wc-d4,8.0,0.0
aihl,65.90909091,1200.0
ajihl,65.90909091,1200.0
australia-other,53.5,600.0
australia-u15,49.36363636,500.0
australia-u18,49.36363636,500.0
australia2,61.77272727,1000.0
awihl-w,65.90909091,1200.0
ecsl,61.77272727,1000.0
ihsa-premier,57.63636364,800.0
ihv-premier,57.63636364,800.0
ihwa-premier,57.63636364,800.0
not-covered,20.40909091,0.0
qc-int-pw,16.27272727,0.0
wc-d2a,8.0,0.0
wc-d2a-w,8.0,0.0
wjc-18-d1b-w,65.90909091,1200.0
wjc-18-d2b,65.90909091,1200.0
wjc-20-d2b,74.18181818,1700.0
alpshl,90.72727273,3100.0
austria-other,74.18181818,1700.0
austria-u17,70.04545455,1400.0
austria-u18i,74.18181818,1700.0
austria-u20i,82.45454545,2400.0
austria3,82.45454545,2400.0
austria4,78.31818182,2000.0
czechia-u15,65.90909091,1200.0
debl-w,82.45454545,2400.0
debl2-w,78.31818182,2000.0
ec,8.0,0.0
ewhl-w,86.59090909,2800.0
eyof,8.0,0.0
eyof-w,8.0,0.0
germany-u15-2,16.27272727,0.0
germany-u17-4,16.27272727,0.0
germany3-w,16.27272727,0.0
icehl,86.59090909,2800.0
international-jr,8.0,0.0
ogq,8.0,0.0
ogq-w,8.0,0.0
swissdiv4,16.27272727,0.0
wc,8.0,0.0
wc-d1a-w,8.0,0.0
whc-u14,61.77272727,1000.0
whc-u15,65.90909091,1200.0
wjc-18-d1b,8.0,0.0
wjc-20-d1a,8.0,0.0
wsi-u12,53.5,600.0
asian-wg,53.5,600.0
kuwait,53.5,600.0
belarus,86.59090909,2800.0
belarus-other,78.31818182,2000.0
belarus-u18,74.18181818,1700.0
belarus-vysshaya,74.18181818,1700.0
khl,94.86363636,3600.0
mhl,78.31818182,2000.0
russia-other,61.77272727,1000.0
wsi-u13,57.63636364,800.0
wsi-u14,61.77272727,1000.0
wsi-u15,65.90909091,1200.0
belgium-other,57.63636364,800.0
belgium-u16,61.77272727,1000.0
belgium-u18,65.90909091,1200.0
belgium-w,70.04545455,1400.0
belgium2,65.90909091,1200.0
cehl,70.04545455,1400.0
germany2-w,86.59090909,2800.0
netherlands-w,70.04545455,1400.0
wc-d2b-w,8.0,0.0
wjc-18-d2b-w,70.04545455,1400.0
wjc-20-d3a,78.31818182,2000.0
bosnia,70.04545455,1400.0
wc-d3a,8.0,0.0
wc-d3b-w,8.0,0.0
wjc-18-d3b,70.04545455,1400.0
bulgaria,70.04545455,1400.0
bulgaria-u16,57.63636364,800.0
bulgaria-u18,65.90909091,1200.0
bulgaria-u20,70.04545455,1400.0
wc-d2b,8.0,0.0
wc-d3a-w,8.0,0.0
wjc-18-d3-w,70.04545455,1400.0
wjc-18-d3a,70.04545455,1400.0
13u-aa,53.5,600.0
14u-a,53.5,600.0
14u-aaa,61.77272727,1000.0
15u-a,57.63636364,800.0
15u-a-w,57.63636364,800.0
15u-aa,61.77272727,1000.0
15u-aaa,65.90909091,1200.0
16u-aa,65.90909091,1200.0
16u-aaa,70.04545455,1400.0
18u-a,70.04545455,1400.0
18u-aaa,78.31818182,2000.0
19u-aa-w,74.18181818,1700.0
19u-aaa-w,82.45454545,2400.0
aau-ii,65.90909091,1200.0
acac,78.31818182,2000.0
acac-w,78.31818182,2000.0
ach,70.04545455,1400.0
acha-d2-w,70.04545455,1400.0
acha-ii,70.04545455,1400.0
aehl,70.04545455,1400.0
aehl-u15,65.90909091,1200.0
aehl-u15-aa,61.77272727,1000.0
aehl-u16-aa,65.90909091,1200.0
aehl-u17,70.04545455,1400.0
aehl-u18,74.18181818,1700.0
aehl-u18-aa,70.04545455,1400.0
aejhl,74.18181818,1700.0
aeshl,74.18181818,1700.0
afhl-u15-aa-w,61.77272727,1000.0
afhl-u18-aa-w,70.04545455,1400.0
afhl-u18-aaa-w,78.31818182,2000.0
ahl,94.86363636,3600.0
ajfhl-w,82.45454545,2400.0
ajhl,82.45454545,2400.0
alberta-cup,16.27272727,0.0
alliance-u14,57.63636364,800.0
alliance-u15,61.77272727,1000.0
alliance-u16,65.90909091,1200.0
alliance-u18,74.18181818,1700.0
bantam-w,57.63636364,800.0
bc-zone-u15,16.27272727,0.0
bc-zone-u18,70.04545455,1400.0
bcehl-u15,65.90909091,1200.0
bcehl-u17,70.04545455,1400.0
bcehl-u18,74.18181818,1700.0
bcehl-u18-w,74.18181818,1700.0
bchl,86.59090909,2800.0
bchshl,74.18181818,1700.0
bcihl,70.04545455,1400.0
beaver-hl,20.40909091,0.0
brhl,70.04545455,1400.0
brick-invitational,16.27272727,0.0
bshl,74.18181818,1700.0
cahl-u15,57.63636364,800.0
cahl-u16,57.63636364,800.0
cahl-u18,65.90909091,1200.0
cahs,74.18181818,1700.0
cahs-w,74.18181818,1700.0
cajaahl,74.18181818,1700.0
cajhl,74.18181818,1700.0
camp-showcase,16.27272727,0.0
capjhl,65.90909091,1200.0
cbhf-u15,61.77272727,1000.0
cbhf-u18,74.18181818,1700.0
cc,8.0,0.0
cchl,78.31818182,2000.0
cdhl,70.04545455,1400.0
cehl-sr,70.04545455,1400.0
centralphl,70.04545455,1400.0
cihl,70.04545455,1400.0
cisaa,70.04545455,1400.0
cpjhl,70.04545455,1400.0
crhl,70.04545455,1400.0
crjhl,70.04545455,1400.0
cskrtb,70.04545455,1400.0
csshl-u15,61.77272727,1000.0
csshl-u15-aaa,65.90909091,1200.0
csshl-u16,74.18181818,1700.0
csshl-u17,70.04545455,1400.0
csshl-u17-aaa,74.18181818,1700.0
csshl-u18,78.31818182,2000.0
csshl-u18-w,78.31818182,2000.0
csshle-u17,70.04545455,1400.0
csshle-u18,74.18181818,1700.0
