nhl_scouting_rank,list_type,player_name,team,league,birthdate,position,factor_28_nhl_scouting_points,total_in_list
1,NA_SKATERS,"MCKENNA, GAVIN",PENN STATE,BIG10,20-Dec-2007,LW,1000.0,225
2,NA_SKATERS,"VERHOEFF, KEATON",NORTH DAKOTA,NCHC,19-Jun-2008,D,997.8,225
3,NA_SKATERS,"CARELS, CARSON",PRINCE GEORGE,WHL,23-Jun-2008,D,995.5,225
4,NA_SKATERS,"REID, CHASE",SAULT STE. MARIE,OHL,30-Dec-2007,D,993.3,225
5,NA_SKATERS,"MALHOTRA, CALEB",BRANTFORD,OHL,02-Jun-2008,C,991.1,225
6,NA_SKATERS,"RUDOLPH, DAXON",PRINCE ALBERT,WHL,06-Mar-2008,D,988.8,225
7,NA_SKATERS,"LAWRENCE, TYNAN",BOSTON UNIVERSITY,H-EAST,03-Aug-2008,C,986.6,225
8,NA_SKATERS,"MOROZOV, ILIA",MIAMI,NCHC,03-Aug-2008,C,984.4,225
9,NA_SKATERS,"BELCHETZ, ETHAN",WINDSOR,OHL,30-Mar-2008,LW,982.1,225
10,NA_SKATERS,"HURLBERT, JP",KAMLOOPS,WHL,11-Apr-2008,LW,979.9,225
11,NA_SKATERS,"HEMMING, OSCAR",BOSTON COLLEGE,H-EAST,13-Aug-2008,LW,977.7,225
12,NA_SKATERS,"NOVOTNY, ADAM",PETERBOROUGH,OHL,13-Nov-2007,LW,975.4,225
13,NA_SKATERS,"LIN, RYAN",VANCOUVER,WHL,18-Apr-2008,D,973.2,225
14,NA_SKATERS,"ROGOWSKI, BROOKS",OSHAWA,OHL,24-Jun-2008,C,971.0,225
15,NA_SKATERS,"VILLENEUVE, XAVIER",BLAINVILLE-BOISBRIAND,QMJHL,29-Sep-2007,D,968.8,225
16,NA_SKATERS,"KLEPOV, NIKITA",SAGINAW,OHL,27-Jun-2008,RW,966.5,225
17,NA_SKATERS,"SHILOV, EGOR",VICTORIAVILLE,QMJHL,30-Apr-2008,C,964.3,225
18,NA_SKATERS,"DAGENAIS, MADDOX",QUEBEC,QMJHL,27-Mar-2008,C,962.1,225
19,NA_SKATERS,"DI IORIO, ALESSANDRO",SARNIA,OHL,17-Mar-2008,C,959.8,225
20,NA_SKATERS,"MACBEATH, BEN",CALGARY,WHL,04-Mar-2008,D,957.6,225
21,NA_SKATERS,"VANECEK, JAKUB",TRI-CITY,WHL,25-Feb-2008,D,955.4,225
22,NA_SKATERS,"CALI, RYDER",NORTH BAY,OHL,06-Sep-2008,C,953.1,225
23,NA_SKATERS,"CULLEN, WYATT",USA U-18,NTDP - USHL,08-Sep-2008,LW,950.9,225
24,NA_SKATERS,"PRESTON, MATHIS",VANCOUVER,WHL,21-Jul-2008,RW,948.7,225
25,NA_SKATERS,"VANDENBERG, THOMAS",OTTAWA,OHL,08-Sep-2008,C,946.4,225
26,NA_SKATERS,"RUCK, LIAM",MEDICINE HAT,WHL,21-Feb-2008,RW,944.2,225
27,NA_SKATERS,"ROOBROECK, RYAN",NIAGARA,OHL,25-Sep-2007,LW,942.0,225
28,NA_SKATERS,"NYCZ, LANDON",UMASS,H-EAST,04-Oct-2007,D,939.7,225
29,NA_SKATERS,"MORRISON, CHARLIE",QUEBEC,QMJHL,12-Oct-2007,D,937.5,225
30,NA_SKATERS,"MUTRYN, CASEY",USA U-18,NTDP - USHL,05-Jul-2008,RW,935.3,225
31,NA_SKATERS,"RUCK, MARKUS",MEDICINE HAT,WHL,21-Feb-2008,C,933.0,225
32,NA_SKATERS,"HARRINGTON, CHASE",SPOKANE,WHL,30-Oct-2007,LW,930.8,225
33,NA_SKATERS,"HEXTALL, JACK",YOUNGSTOWN,USHL,23-Mar-2008,C,928.6,225
34,NA_SKATERS,"LISKE, BREK",EVERETT,WHL,09-Jan-2008,D,926.3,225
35,NA_SKATERS,"BLEYL, TOMMY",MONCTON,QMJHL,01-Dec-2007,D,924.1,225
36,NA_SKATERS,"PLANTE, VICTOR",USA U-18,NTDP - USHL,10-Mar-2008,LW,921.9,225
37,NA_SKATERS,"SCHAIRER, LUKE",USA U-18,NTDP - USHL,30-Jan-2008,D,919.6,225
38,NA_SKATERS,"BILECKI, ALEXANDER",KITCHENER,OHL,09-May-2008,D,917.4,225
39,NA_SKATERS,"BARABANOV, EGOR",SAGINAW,OHL,16-May-2006,C,915.2,225
40,NA_SKATERS,"DRAVECKY, VLADIMIR",BRANTFORD,OHL,19-Dec-2007,D,912.9,225
41,NA_SKATERS,"FITZGERALD, COLIN",SAULT STE. MARIE,OHL,01-Apr-2008,C,910.7,225
42,NA_SKATERS,"WILLIAMS, COOPER",SASKATOON,WHL,18-Feb-2008,C,908.5,225
43,NA_SKATERS,"OLSEN, ZACH",SASKATOON,WHL,16-Mar-2008,RW,906.2,225
44,NA_SKATERS,"MBUYI, PIERCE",OWEN SOUND,OHL,17-Apr-2008,LW,904.0,225
45,NA_SKATERS,"COVER, JAXON",LONDON,OHL,13-Feb-2008,RW,901.8,225
46,NA_SKATERS,"EDWARDS, BECKHAM",SARNIA,OHL,06-Jan-2008,C,899.6,225
47,NA_SKATERS,"ZURAWSKI, COLE",OWEN SOUND,OHL,06-Feb-2008,RW,897.3,225
48,NA_SKATERS,"HAFELE, LANDON",GREEN BAY,USHL,18-Sep-2007,C,895.1,225
49,NA_SKATERS,"BERZKALNS, RUDOLFS",MUSKEGON,USHL,03-Mar-2008,C,892.9,225
50,NA_SKATERS,"WASSILYN, BRAIDY",LONDON,OHL,28-May-2008,LW,890.6,225
51,NA_SKATERS,"ROYSTON, WESLEY",OWEN SOUND,OHL,22-Nov-2007,RW,888.4,225
52,NA_SKATERS,"GUSTAFSON, JAKE",PORTLAND,WHL,03-Apr-2008,C,886.2,225
53,NA_SKATERS,"RUNTSO, TIMOFEI",VICTORIA,WHL,06-Jul-2007,D,883.9,225
54,NA_SKATERS,"STEVENS, CARTER",GUELPH,OHL,11-Jan-2008,RW,881.7,225
55,NA_SKATERS,"KOSICK, NOAH",SEATTLE,WHL,18-Aug-2008,C,879.5,225
56,NA_SKATERS,"ZIELINSKI, BLAKE",DES MOINES,USHL,05-Mar-2008,C,877.2,225
57,NA_SKATERS,"BEUKER, DAYNE",USA U-18,NTDP - USHL,23-Mar-2008,C,875.0,225
58,NA_SKATERS,"PANTELAS, GIORGOS",BRANDON,WHL,24-Apr-2008,D,872.8,225
59,NA_SKATERS,"CROSKERY, CALLUM",SAULT STE. MARIE,OHL,29-Jan-2008,D,870.5,225
60,NA_SKATERS,"KUEHNE, LINCOLN",ARIZONA STATE,NCHC,28-Nov-2007,D,868.3,225
61,NA_SKATERS,"STEINER, LARS",ROUYN-NORANDA,QMJHL,12-Nov-2007,RW,866.1,225
62,NA_SKATERS,"GALLACHER, LAYNE",GUELPH,OHL,16-Feb-2008,C,863.8,225
63,NA_SKATERS,"SPARKS, TYUS",SPOKANE,WHL,04-Jan-2008,C,861.6,225
64,NA_SKATERS,"LEMIRE, KAYDEN",PRINCE GEORGE,WHL,27-Jan-2008,RW,859.4,225
65,NA_SKATERS,"KEMPS, JONAS",CHICAGO,USHL,16-Jan-2008,D,857.1,225
66,NA_SKATERS,"DOYLE, EDDY",HALIFAX,QMJHL,08-Nov-2007,D,854.9,225
67,NA_SKATERS,"HEGER, KYLE",LETHBRIDGE,WHL,21-Sep-2007,D,852.7,225
68,NA_SKATERS,"KULEBIAKIN, OLEG",HALIFAX,QMJHL,11-Jan-2008,RW,850.4,225
69,NA_SKATERS,"BERCHILD, MICHAEL",USA U-18,NTDP - USHL,16-Feb-2008,LW,848.2,225
70,NA_SKATERS,"LEFEBVRE, LIAM",CHICOUTIMI,QMJHL,15-May-2007,C,846.0,225
71,NA_SKATERS,"MURNIEKS, OLIVERS",SAINT JOHN,QMJHL,31-Jul-2008,C,843.8,225
72,NA_SKATERS,"LANSARD, ZACHARY",REGINA,WHL,29-Jul-2008,RW,841.5,225
73,NA_SKATERS,"DUGUAY, JORDAN",PORTLAND,WHL,16-Feb-2008,LW,839.3,225
74,NA_SKATERS,"MACKENZIE, ETHAN",EDMONTON,WHL,02-Sep-2006,D,837.1,225
