rank,rpi_rank,team,points,rpi,updated
1,1,Avon Old Farms,15,0.6155,2026-01-26
2,2,Salisbury,14,0.6138,2026-01-26
3,3,Dexter,13,0.6022,2026-01-26
4,4,St. Mark's,10,0.5915,2026-01-26
5,5,Belmont Hill,9,0.5845,2026-01-26
6,6,Hotchkiss,9,0.5742,2026-01-26
7,7,Kimball Union,8,0.5734,2026-01-26
8,8,Tabor,8,0.5695,2026-01-26
9,10,Holderness,8,0.5671,2026-01-26
10,12,Thayer,7,0.5517,2026-01-26
11,13,St. Sebastian's,7,0.5496,2026-01-26
12,9,Canterbury,5,0.5692,2026-01-26
13,11,Brunswick,4,0.5520,2026-01-26
14,15,St. Paul's,1,0.5386,2026-01-26
15,16,Pomfret,1,0.5375,2026-01-26
16,14,Andover,1,0.5406,2026-01-26
